episode_id,lag_seconds
42060,5.283999999999999
42060,36.56400000000001
42060,36.56400000000001
42060,251.83800000000002
42060,172.57999999999998
42060,308.69699999999995
42060,47.87600000000003
42060,128.154
42060,128.154
42060,128.154
42060,118.27999999999997
42060,118.27999999999997
42060,83.17099999999994
42060,83.17099999999994
42060,83.17099999999994
42060,83.17099999999994
42060,83.17099999999994
42061,28.427999999999997
42061,28.427999999999997
42061,310.76
42061,35.327999999999975
42061,35.327999999999975
42061,80.16199999999998
42061,24.146000000000015
42061,8.242000000000019
42073,1282.156
42073,1086.087
42073,977.001
42073,1157.079
42073,1017.9639999999999
42073,13.95999999999998
42073,133.688
42073,119.72800000000001
42073,119.72800000000001
42073,119.72800000000001
42073,390.93700000000007
42073,119.72800000000001
42073,417.915
42073,12.430000000000007
42073,896.7059999999999
42073,343.101
42073,91.72300000000001
42073,884.276
42073,91.72300000000001
42073,784.886
42073,612.4749999999999
42073,166.81500000000005
42073,618.7299999999999
42073,5.663000000000011
42073,432.9889999999999
42073,71.89199999999994
42073,72.64700000000005
42073,10.263000000000034
42073,10.263000000000034
42073,72.15099999999995
42073,288.946
42073,15.990999999999985
42073,15.990999999999985
42073,15.990999999999985
42073,180.07799999999997
42073,180.07799999999997
42073,426.61400000000003
42073,254.20299999999997
42073,246.53600000000006
42077,240.351
42077,462.60999999999996
42077,35.82299999999999
42077,35.82299999999999
42077,110.46
42077,35.82299999999999
42077,91.338
42077,91.338
42077,91.338
42077,1139.98
42077,1139.98
42077,890.8860000000001
42077,894.258
42077,894.258
42077,217.81500000000005
42077,210.832
42077,612.4200000000001
42077,149.21500000000003
42077,201.10900000000004
42077,11.172000000000025
42077,63.06600000000003
42077,51.894000000000005
42077,63.68399999999997
42077,63.68399999999997
42088,204.69
42088,979.306
42088,77.472
42088,1213.9199999999998
42088,1232.716
42088,937.821
42088,62.462999999999994
42088,45.019999999999996
42088,1510.389
42088,1201.43
42088,923.827
42088,18.450999999999993
42088,693.414
42088,901.8340000000001
42088,44.623999999999995
42088,82.255
42088,37.631
42088,857.21
42088,44.962999999999994
42088,128.928
42088,122.922
42088,1407.779
42088,122.922
42088,122.922
42088,122.922
42088,122.922
42088,110.85400000000001
42088,122.922
42088,122.922
42088,663.762
42088,12.067999999999984
42088,12.067999999999984
42088,436.891
42088,50.004999999999995
42088,50.004999999999995
42088,651.694
42088,834.684
42088,1284.857
42088,424.82300000000004
42088,601.6890000000001
42088,1234.8519999999999
42088,876.123
42088,381.0380000000001
42088,333.1310000000001
42088,226.87099999999998
42088,194.77600000000007
42088,182.9899999999999
42088,633.1629999999999
42088,182.9899999999999
42088,182.9899999999999
42088,182.9899999999999
42088,14.689999999999827
42088,14.689999999999827
42088,85.42900000000009
42088,202.99500000000012
42088,295.116
42088,28.07400000000007
42088,28.07400000000007
42088,92.12099999999987
42088,238.1790000000001
42088,168.55100000000016
42088,168.55100000000016
42088,52.28600000000006
42088,45.83400000000006
42088,45.83400000000006
42088,70.43100000000004
42088,8.464999999999918
42088,8.464999999999918
42105,242.958
42105,403.285
42105,1040.055
42105,879.616
42105,884.8589999999999
42105,239.256
42105,201.17399999999998
42105,130.305
42105,130.305
42105,94.726
42105,914.927
42105,98.428
42105,8.787000000000006
42105,947.5140000000001
42105,48.709
42105,48.709
42105,689.0690000000001
42105,52.411
42105,41.388000000000005
42105,41.388000000000005
42105,45.99600000000001
42105,640.36
42105,70.869
42105,42.29400000000001
42105,106.24799999999999
42105,118.03300000000002
42105,158.24099999999999
42105,56.735000000000014
42105,158.24099999999999
42105,56.735000000000014
42105,158.24099999999999
42105,77.673
42105,89.45800000000003
42105,23.079999999999984
42105,23.079999999999984
42105,32.72300000000001
42105,863.239
42105,80.56799999999998
42105,863.239
42105,578.8430000000001
42105,43.134000000000015
42105,296.2130000000001
42105,372.8810000000001
42105,17.013000000000034
42105,552.7220000000001
42105,279.20000000000005
42105,481.51700000000005
42105,481.51700000000005
42105,225.58400000000006
42105,481.51700000000005
42105,279.20000000000005
42105,481.51700000000005
42105,279.20000000000005
42105,225.851
42105,90.32400000000007
42105,400.44900000000007
42105,79.82100000000003
42105,225.851
42105,140.78700000000003
42105,53.615999999999985
42105,202.317
42105,638.323
42105,34.789999999999964
42105,54.19200000000001
42105,60.77600000000007
42105,313.327
42105,20.615999999999985
42105,34.246999999999844
42105,22.855000000000018
42105,6.68100000000004
42105,56.36000000000013
42105,346.9290000000001
42105,105.654
42105,27.368999999999915
42105,27.368999999999915
42105,27.368999999999915
42105,49.01999999999998
42105,49.01999999999998
42105,38.111000000000104
42105,38.111000000000104
42105,48.79299999999989
42105,10.028999999999996
42105,10.028999999999996
42105,10.028999999999996
42105,3.4830000000001746
42105,3.4830000000001746
42105,3.4830000000001746
42105,3.4830000000001746
42105,56.19399999999996
42105,37.485999999999876
42105,37.485999999999876
42106,175.402
42106,142.015
42106,175.402
42106,142.015
42106,480.413
42106,454.52200000000005
42106,75.674
42106,75.674
42106,358.88200000000006
42106,33.387
42106,33.387
42106,33.387
42106,412.235
42106,180.219
42106,180.219
42106,180.219
42106,235.76300000000003
42106,37.134000000000015
42106,116.38
42106,116.38
42106,116.38
42106,877.8380000000001
42106,116.38
42106,198.62900000000002
42106,13.390999999999963
42106,777.5219999999999
42106,506.65
42106,108.13999999999999
42106,215.67100000000005
42106,212.31799999999998
42106,270.87199999999996
42106,16.06399999999985
42131,1223.9699999999998
42131,1895.464
42131,61.727999999999994
42131,1895.464
42131,1543.306
42131,8.917000000000002
42131,8.917000000000002
42131,1541.505
42131,8.917000000000002
42131,1778.8829999999998
42131,1153.3249999999998
42131,1153.3249999999998
42131,33.43000000000001
42131,937.2149999999999
42131,1570.063
42131,477.2660000000001
42131,149.92100000000005
42131,149.92100000000005
42131,34.221000000000004
42131,198.75600000000009
42131,34.221000000000004
42131,34.221000000000004
42131,271.43499999999995
42131,164.53500000000008
42131,164.53500000000008
42131,164.53500000000008
42131,106.89999999999986
42131,128.58899999999994
42131,30.586000000000013
42131,98.00299999999993
42131,98.00299999999993
42131,21.689000000000078
42131,41.871000000000095
42131,45.93600000000015
42131,45.93600000000015
42131,4.065000000000055
42131,4.065000000000055
42131,4.065000000000055
